_id,employee,title,start_date,end_date
5f6a4df44636e1543f6d9242,5f6a3d5a4636e1543f6d445f,5f6a3f4cc88d755968859b46,1992-09-19T21:00:00.000Z,1993-08-22T21:00:00.000Z
5f6a4df44636e1543f6d9243,5f6a3d5a4636e1543f6d4460,5f6a3f35c88d755968859b43,1998-02-11T21:00:00.000Z,9999-01-01T21:00:00.000Z
5f6a4df44636e1543f6d9244,5f6a3d5a4636e1543f6d4461,5f6a3f4cc88d755968859b46,2000-08-03T21:00:00.000Z,9999-01-01T21:00:00.000Z
5f6a4df44636e1543f6d9245,5f6a3d5a4636e1543f6d4461,5f6a3f35c88d755968859b43,1993-08-03T21:00:00.000Z,2000-08-03T21:00:00.000Z
5f6a4df44636e1543f6d9246,5f6a3d5a4636e1543f6d4462,5f6a3f46c88d755968859b45,1987-04-03T21:00:00.000Z,1995-04-03T21:00:00.000Z
5f6a4df44636e1543f6d9247,5f6a3d5a4636e1543f6d4462,5f6a3f3bc88d755968859b44,1995-04-03T21:00:00.000Z,9999-01-01T21:00:00.000Z
5f6a4df44636e1543f6d9248,5f6a3d5a4636e1543f6d4463,5f6a3f35c88d755968859b43,1999-04-30T21:00:00.000Z,9999-01-01T21:00:00.000Z
5f6a4df44636e1543f6d9249,5f6a3d5a4636e1543f6d4464,5f6a3f46c88d755968859b45,1997-12-30T21:00:00.000Z,9999-01-01T21:00:00.000Z
5f6a4df44636e1543f6d924a,5f6a3d5a4636e1543f6d4465,5f6a3f5bc88d755968859b48,1988-02-10T21:00:00.000Z,2002-07-15T21:00:00.000Z
5f6a4df44636e1543f6d924b,5f6a3d5a4636e1543f6d4466,5f6a3f46c88d755968859b45,1999-09-03T21:00:00.000Z,9999-01-01T21:00:00.000Z
5f6a4df44636e1543f6d924c,5f6a3d5a4636e1543f6d4467,5f6a3f46c88d755968859b45,1999-09-27T21:00:00.000Z,9999-01-01T21:00:00.000Z
5f6a4df44636e1543f6d924d,5f6a3d5a4636e1543f6d4468,5f6a3f54c88d755968859b47,1998-06-14T21:00:00.000Z,9999-01-01T21:00:00.000Z
5f6a4df44636e1543f6d924e,5f6a3d5a4636e1543f6d4469,5f6a3f5bc88d755968859b48,1987-08-17T21:00:00.000Z,1997-10-15T21:00:00.000Z
