_id,employee,salary,start_date,end_date
5f6b82021a9dfb14679a1a3b,5f6a3d5a4636e1543f6d4452,65828,1996-08-03T21:00:00.000Z,1997-08-03T21:00:00.000Z
5f6b82021a9dfb14679a1a3c,5f6a3d5a4636e1543f6d4452,65909,1997-08-03T21:00:00.000Z,1998-08-03T21:00:00.000Z
5f6b82021a9dfb14679a1a3d,5f6a3d5a4636e1543f6d4452,67534,1998-08-03T21:00:00.000Z,1999-08-03T21:00:00.000Z
5f6b82021a9dfb14679a1a3e,5f6a3d5a4636e1543f6d4452,69366,1999-08-03T21:00:00.000Z,2000-08-02T21:00:00.000Z
5f6b82021a9dfb14679a1a3f,5f6a3d5a4636e1543f6d4452,71963,2000-08-02T21:00:00.000Z,2001-08-02T21:00:00.000Z
5f6b82021a9dfb14679a1a40,5f6a3d5a4636e1543f6d4452,72527,2001-08-02T21:00:00.000Z,9999-01-01T21:00:00.000Z
5f6b82021a9dfb14679a1a41,5f6a3d5a4636e1543f6d4453,40006,1995-12-03T21:00:00.000Z,1996-12-02T21:00:00.000Z
5f6b82021a9dfb14679a1a42,5f6a3d5a4636e1543f6d4453,43616,1996-12-02T21:00:00.000Z,1997-12-02T21:00:00.000Z
5f6b82021a9dfb14679a1a43,5f6a3d5a4636e1543f6d4453,43466,1997-12-02T21:00:00.000Z,1998-12-02T21:00:00.000Z
5f6b82021a9dfb14679a1a44,5f6a3d5a4636e1543f6d4453,43636,1998-12-02T21:00:00.000Z,1999-12-02T21:00:00.000Z
5f6b82021a9dfb14679a1a45,5f6a3d5a4636e1543f6d4453,43478,1999-12-02T21:00:00.000Z,2000-12-01T21:00:00.000Z
5f6b82021a9dfb14679a1a46,5f6a3d5a4636e1543f6d4453,43699,2000-12-01T21:00:00.000Z,2001-12-01T21:00:00.000Z
5f6b82021a9dfb14679a1a47,5f6a3d5a4636e1543f6d4453,43311,2001-12-01T21:00:00.000Z,9999-01-01T21:00:00.000Z
5f6b82021a9dfb14679a1a48,5f6a3d5a4636e1543f6d4454,40054,1986-12-01T21:00:00.000Z,1987-12-01T21:00:00.000Z
5f6b82021a9dfb14679a1a49,5f6a3d5a4636e1543f6d4454,42283,1987-12-01T21:00:00.000Z,1988-11-30T21:00:00.000Z
5f6b82021a9dfb14679a1a4a,5f6a3d5a4636e1543f6d4454,42542,1988-11-30T21:00:00.000Z,1989-11-30T21:00:00.000Z
5f6b82021a9dfb14679a1a4b,5f6a3d5a4636e1543f6d4454,46065,1989-11-30T21:00:00.000Z,1990-11-30T21:00:00.000Z
